Бренд	Цена	Старая цена	Цвет	Тип	Сезон	Коллекция	Материал верха основной	Материал подкладки основной	Материал подкладки дополнительный	Материал стельки	Материал подошвы	Перфорация	Тип застежки	Высота каблука (мм)	Высота верха обуви (мм)	Полнота	Пол
Thomas Munz	7699	10999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	ТЭП	Нет	Шнурки	28	80	6	Муж.
M-Shoes	4399	10990	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	ЭВА	Декоративная	Шнурки	37	70	6	Муж.
BRIGGS	4799	11999	Хаки	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ЭВА	Декоративная	Шнурки	40	95	6	Муж.
BRIGGS	4799	11999	Коричневый	Кроссовки	Весна-осень	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ЭВА	Декоративная	Шнурки	40	95	6	Муж.
M-Shoes	4399	10990	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Натуральная кожа	ЭВА	Декоративная	Шнурки	37	70	6	Муж.
BRIGGS	7699	10999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Шевро	Текстиль	Шевро	Резина	Декоративная	Шнурки	33	78	6	Муж.
BRIGGS	7699	10999	Белый	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Шевро	Текстиль	Шевро	Резина	Декоративная	Шнурки	33	78	6	Муж.
BRIGGS	4899	6999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Искусственная кожа	Текстиль	Unknown	Текстиль	ТЭП	Нет	Шнурки	30	85	6	Муж.
Thomas Munz	7699	10999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	30	80	6	Муж.
BRIGGS	8399	11999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Полиуретан	Без перфорации	Шнурки	52	85	6	Муж.
Thomas Munz	7699	10999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	30	85	6	Муж.
Thomas Munz	6999	9999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	35	90	6	Муж.
Thomas Munz	7699	10999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	34	80	6	Муж.
BRIGGS	4799	11999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	КРС	ЭВА	Декоративная	Шнурки	35	75	6	Муж.
Thomas Munz	6999	9999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	ЭВА	Нет	Шнурки	35	80	6	Муж.
Thomas Munz	9799	13999	Коричневый	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Нет	Шнурки	35	75	6	Муж.
Thomas Munz	4799	11999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	ЭВА	Нет	Шнурки	36	82	6	Муж.
Thomas Munz	7699	10999	Синий	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	ТЭП	Нет	Шнурки	35	95	6	Муж.
Thomas Munz	7699	10999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	30	80	6	Муж.
Thomas Munz	7699	10999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	30	85	6	Муж.
BRIGGS	4799	11999	Белый	Кеды	Межсезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	КРС	ЭВА	Декоративная	Шнурки	35	75	6	Муж.
Thomas Munz	7699	10999	Коричневый	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	34	80	6	Муж.
BRIGGS	8399	11999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	КРС	ЭВА	Декоративная	Шнурки	35	75	6	Муж.
Thomas Munz	9099	12999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Без перфорации	Молния/Шнурки	30	78	6	Муж.
Thomas Munz	9799	13999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Шевро	Текстиль	Шевро	Резина	Нет	Шнурки	35	75	6	Муж.
Thomas Munz	3999	9999	Черный	Кроссовки	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Шевро	Резина	Нет	Шнурки	31	85	6	Муж.
Thomas Munz	6999	9999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Текстиль	Unknown	Текстиль	Резина	Декоративная	Шнурки	35	75	6	Муж.
Thomas Munz	9099	12999	Синий	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Декоративная	Шнурки	45	75	6	Муж.
Thomas Munz	4399	10999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Кожа из спилка	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Без перфорации	Шнурки	35	75	6	Муж.
Thomas Munz	9099	12999	Хаки	Кеды	Демисезон	Осень-Зима 2024-2025	Нубук	Натуральная кожа	Текстиль	Натуральная кожа	ЭВА	Декоративная	Шнурки	45	75	6	Муж.
Thomas Munz	9099	12999	Черный	Кеды	Демисезон	Осень-Зима 2024-2025	Натуральная кожа	Натуральная кожа	Текстиль	Натуральная кожа	Резина	Без перфорации	Молния/Шнурки	30	78	6	Муж.
